,Usa botes de basura de la CDMX,Guarda la basura en mochilas u otro lugar,Cree que la CDMX necesita botes de basura,Ha visto botes de basura en el metro,Ha visto botes de basura en el metrobus
0,40,50,45,0,3
1,10,0,5,50,47
